year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,laureats_name,prize_winning_abbreviations,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
1902,Peace,The Nobel Peace Prize 1902,NA,1月2日,465,Individual,Charles Albert Gobat,,,1843-05-21,Tramelan,Switzerland,Male,NA,NA,NA,1914/3/16,Bern,Switzerland
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1月2日,2,Individual,Hendrik Antoon Lorentz,,,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands,1928/2/4,NA,Netherlands
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1月2日,3,Individual,Pieter Zeeman,Pieter Zeeman,"zeeman, p",1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1943/10/9,Amsterdam,Netherlands
1903,Chemistry,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1月1日,162,Individual,Svante August Arrhenius,,,1859-02-19,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden,1927/10/2,Stockholm,Sweden
1903,Literature,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1月1日,572,Individual,Bj?rnstjerne Martinus Bj?rnson,,,1832-12-08,Kvikne,Norway,Male,NA,NA,NA,1910/4/26,Paris,France
1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",1月1日,295,Individual,Niels Ryberg Finsen,,,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark,1904/9/24,Copenhagen,Denmark
1903,Peace,The Nobel Peace Prize 1903,NA,1月1日,466,Individual,William Randal Cremer,,,1828-03-18,Fareham,United Kingdom,Male,NA,NA,NA,1908/7/22,London,United Kingdom
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",1月2日,4,Individual,Antoine Henri Becquerel,,,1852-12-15,Paris,France,Male,école Polytechnique,Paris,France,1908/8/25,NA,France
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1月4日,5,Individual,Pierre Curie,,,1859-05-15,Paris,France,Male,école municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1906/4/19,Paris,France
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1月4日,6,Individual,"Marie Curie, née Sklodowska",,,1867-11-07,Warsaw,Russian Empire (Poland),Female,NA,NA,NA,1934/7/4,Sallanches,France
1904,Chemistry,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",1月1日,163,Individual,Sir William Ramsay,,,1852-10-02,Glasgow,Scotland,Male,University College,London,United Kingdom,1916/7/23,High Wycombe,United Kingdom
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",1月2日,573,Individual,Frédéric Mistral,,,1830-09-08,Maillane,France,Male,NA,NA,NA,1914/3/25,Maillane,France
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",1月2日,574,Individual,José Echegaray y Eizaguirre,,,1832-04-19,Madrid,Spain,Male,NA,NA,NA,1916/9/4,Madrid,Spain
1904,Medicine,The Nobel Prize in Physiology or Medicine 1904,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",1月1日,296,Individual,Ivan Petrovich Pavlov,,,1849-09-14,Ryazan,Russia,Male,Military Medical Academy,St. Petersburg,Russia,1936/2/27,Leningrad,Russia
1904,Peace,The Nobel Peace Prize 1904,NA,1月1日,467,Organization,Institut de droit international (Institute of International Law),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,Physics,The Nobel Prize in Physics 1904,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",1月1日,8,Individual,Lord Rayleigh (John William Strutt),,,1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,1919/6/30,NA,United Kingdom
1905,Chemistry,The Nobel Prize in Chemistry 1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",1月1日,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,,,1835-10-31,Berlin,Prussia (Germany),Male,Munich University,Munich,Germany,1917/8/20,Starnberg,Germany
1905,Literature,The Nobel Prize in Literature 1905,"""because of his outstanding merits as an epic writer""",1月1日,575,Individual,Henryk Sienkiewicz,,,1846-05-05,Wola Okrzejska,Poland,Male,NA,NA,NA,1916/11/15,Vevey,Switzerland
1905,Medicine,The Nobel Prize in Physiology or Medicine 1905,"""for his investigations and discoveries in relation to tuberculosis""",1月1日,297,Individual,Robert Koch,,,1843-12-11,Clausthal (Clausthal-Zellerfeld),Germany,Male,Institute for Infectious Diseases,Berlin,Germany,1910/5/27,Baden-Baden,Germany
1905,Peace,The Nobel Peace Prize 1905,NA,1月1日,468,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",,,1843-06-09,Prague,Austrian Empire (Czech Republic),Female,NA,NA,NA,1914/6/21,Vienna,Austria
1905,Physics,The Nobel Prize in Physics 1905,"""for his work on cathode rays""",1月1日,9,Individual,Philipp Eduard Anton von Lenard,Philipp Lenard,"lenard, p",1862-06-07,Pressburg (Bratislava),Hungary (Slovakia),Male,Kiel University,Kiel,Germany,1947/5/20,Messelhausen,Germany
1906,Chemistry,The Nobel Prize in Chemistry 1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",1月1日,165,Individual,Henri Moissan,,,1852-09-28,Paris,France,Male,Sorbonne University,Paris,France,1907/2/20,Paris,France
1906,Literature,The Nobel Prize in Literature 1906,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",1月1日,576,Individual,Giosuè Carducci,,,1835-07-27,Val di Castello,Tuscany (Italy),Male,NA,NA,NA,1907/2/16,Bologna,Italy
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",1月2日,298,Individual,Camillo Golgi,,,1843-07-07,Corteno,Italy,Male,Pavia University,Pavia,Italy,1926/1/21,Pavia,Italy
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",1月2日,299,Individual,Santiago Ramón y Cajal,,,1852-05-01,Petilla de Aragó,Spain,Male,Madrid University,Madrid,Spain,1934/10/17,Madrid,Spain
1906,Peace,The Nobel Peace Prize 1906,NA,1月1日,470,Individual,Theodore Roosevelt,,,1858-10-27,"New York, NY",United States of America,Male,NA,NA,NA,1919/1/6,"Oyster Bay, NY",United States of America
1906,Physics,The Nobel Prize in Physics 1906,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",1月1日,10,Individual,Joseph John Thomson,J.J. Thomson,joseph john thomson,1856-12-18,"Cheetham Hill, near Manchester",United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1940/8/30,Cambridge,United Kingdom
1907,Chemistry,The Nobel Prize in Chemistry 1907,"""for his biochemical researches and his discovery of cell-free fermentation""",1月1日,166,Individual,Eduard Buchner,,,1860-05-20,Munich,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1917/8/13,Focsani,Romania
1907,Literature,The Nobel Prize in Literature 1907,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",1月1日,577,Individual,Rudyard Kipling,,,1865-12-30,Bombay,British India (India),Male,NA,NA,NA,1936/1/18,London,United Kingdom
1907,Medicine,The Nobel Prize in Physiology or Medicine 1907,"""in recognition of his work on the role played by protozoa in causing diseases""",1月1日,300,Individual,Charles Louis Alphonse Laveran,,,1845-06-18,Paris,France,Male,Institut Pasteur,Paris,France,1922/5/18,Paris,France
1907,Peace,The Nobel Peace Prize 1907,NA,1月2日,471,Individual,Ernesto Teodoro Moneta,,,1833-09-20,Milan,Austrian Empire (Italy),Male,NA,NA,NA,1918/2/10,Milan,Italy
1907,Peace,The Nobel Peace Prize 1907,NA,1月2日,472,Individual,Louis Renault,,,1843-05-21,Autun,France,Male,Sorbonne University,Paris,France,1918/2/8,Barbizon,France
1907,Physics,The Nobel Prize in Physics 1907,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",1月1日,11,Individual,Albert Abraham Michelson,Albert A. Michelson,albert a. michelson,1852-12-19,Strelno (Strzelno),Prussia (Poland),Male,University of Chicago,"Chicago, IL",United States of America,1931/5/9,"Pasadena, CA",United States of America
1908,Chemistry,The Nobel Prize in Chemistry 1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",1月1日,167,Individual,Ernest Rutherford,Ernest Rutherford,"rutherford, e",1871-08-30,Nelson,New Zealand,Male,Victoria University,Manchester,United Kingdom,1937/10/19,Cambridge,United Kingdom
1908,Literature,The Nobel Prize in Literature 1908,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",1月1日,578,Individual,Rudolf Christoph Eucken,,,1846-01-05,Aurich,East Friesland (Germany),Male,NA,NA,NA,1926/9/14,Jena,Germany
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",1月2日,301,Individual,Ilya Ilyich Mechnikov,,,1845-05-15,Kharkov (Kharkiv),Russian Empire (Ukraine),Male,Institut Pasteur,Paris,France,1916/7/15,Paris,France
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",1月2日,302,Individual,Paul Ehrlich,,,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Male,Goettingen University,G?ttingen,Germany,1915/8/20,Bad Homburg vor der H?he,Germany
1908,Peace,The Nobel Peace Prize 1908,NA,1月2日,473,Individual,Klas Pontus Arnoldson,,,1844-10-27,Gothenburg,Sweden,Male,NA,NA,NA,1916/2/20,Stockholm,Sweden
1908,Peace,The Nobel Peace Prize 1908,NA,1月2日,474,Individual,Fredrik Bajer,,,1837-04-21,N?stved,Denmark,Male,NA,NA,NA,1922/1/22,Copenhagen,Denmark
1908,Physics,The Nobel Prize in Physics 1908,"""for his method of reproducing colours photographically based on the phenomenon of interference""",1月1日,12,Individual,Gabriel Lippmann,,,1845-08-16,Hollerich,Luxembourg,Male,Sorbonne University,Paris,France,1921/7/13,NA,NA
1909,Chemistry,The Nobel Prize in Chemistry 1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",1月1日,168,Individual,Wilhelm Ostwald,,,1853-09-02,Riga,Russian Empire (Latvia),Male,Leipzig University,Leipzig,Germany,1932/4/4,Leipzig,Germany
1909,Literature,The Nobel Prize in Literature 1909,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",1月1日,579,Individual,Selma Ottilia Lovisa Lagerl?f,,,1858-11-20,M?rbacka,Sweden,Female,NA,NA,NA,1940/3/16,M?rbacka,Sweden
1909,Medicine,The Nobel Prize in Physiology or Medicine 1909,"""for his work on the physiology, pathology and surgery of the thyroid gland""",1月1日,303,Individual,Emil Theodor Kocher,,,1841-08-25,Berne,Switzerland,Male,Berne University,Berne,Switzerland,1917/7/27,Berne,Switzerland
1909,Peace,The Nobel Peace Prize 1909,NA,1月2日,475,Individual,Auguste Marie Fran?ois Beernaert,,,1829-07-26,Ostend,Belgium,Male,NA,NA,NA,1912/10/6,Lucerne,Switzerland
1909,Peace,The Nobel Peace Prize 1909,NA,1月2日,476,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",,,1852-11-22,La Flèche,France,Male,NA,NA,NA,1924/5/15,Paris,France
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",1月2日,13,Individual,Guglielmo Marconi,,,1874-04-25,Bologna,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1937/7/20,Rome,Italy
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",1月2日,14,Individual,Karl Ferdinand Braun,,,1850-06-06,Fulda,Hesse-Kassel (Germany),Male,Strasbourg University,Strasbourg,"Alsace (then Germany, now France)",1918/4/20,"Brooklyn, NY",United States of America
1910,Chemistry,The Nobel Prize in Chemistry 1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",1月1日,169,Individual,Otto Wallach,,,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Male,Goettingen University,G?ttingen,Germany,1931/2/26,G?ttingen,Germany
1910,Literature,The Nobel Prize in Literature 1910,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",1月1日,580,Individual,Paul Johann Ludwig Heyse,,,1830-03-15,Berlin,Prussia (Germany),Male,NA,NA,NA,1914/4/2,Munich,Germany
1910,Medicine,The Nobel Prize in Physiology or Medicine 1910,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",1月1日,304,Individual,Albrecht Kossel,,,1853-09-16,Rostock,Mecklenburg (Germany),Male,University of Heidelberg,Heidelberg,Germany,1927/7/5,Heidelberg,Germany
1910,Peace,The Nobel Peace Prize 1910,NA,1月1日,477,Organization,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,Physics,The Nobel Prize in Physics 1910,"""for his work on the equation of state for gases and liquids""",1月1日,15,Individual,Johannes Diderik van der Waals,,,1837-11-23,Leiden,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1923/3/8,Amsterdam,Netherlands
1911,Chemistry,The Nobel Prize in Chemistry 1911,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",1月1日,6,Individual,"Marie Curie, née Sklodowska",,,1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934/7/4,Sallanches,France
1911,Literature,The Nobel Prize in Literature 1911,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",1月1日,581,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,,,1862-08-29,Ghent,Belgium,Male,NA,NA,NA,1949/5/6,Nice,France
1911,Medicine,The Nobel Prize in Physiology or Medicine 1911,"""for his work on the dioptrics of the eye""",1月1日,305,Individual,Allvar Gullstrand,,,1862-06-05,Landskrona,Sweden,Male,Uppsala University,Uppsala,Sweden,1930/7/28,Stockholm,Sweden
1911,Peace,The Nobel Peace Prize 1911,NA,1月2日,478,Individual,Tobias Michael Carel Asser,,,1838-04-28,Amsterdam,Netherlands,Male,NA,NA,NA,1913/7/29,the Hague,Netherlands
1911,Peace,The Nobel Peace Prize 1911,NA,1月2日,479,Individual,Alfred Hermann Fried,,,1864-11-11,Vienna,Austria,Male,NA,NA,NA,1921/5/5,Vienna,Austria
1911,Physics,The Nobel Prize in Physics 1911,"""for his discoveries regarding the laws governing the radiation of heat""",1月1日,16,Individual,Wilhelm Wien,Wilhelm Wien,"wien, w",1864-01-13,Gaffken (Parusnoye),Prussia (Russia),Male,Würzburg University,Würzburg,Germany,1928/8/30,Munich,Germany
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",1月2日,172,Individual,Victor Grignard,Victor Grignard,victor grignard,1871-05-06,Cherbourg,France,Male,Nancy University,Nancy,France,1935/12/13,Lyon,France
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",1月2日,173,Individual,Paul Sabatier,,,1854-11-05,Carcassonne,France,Male,Toulouse University,Toulouse,France,1941/8/14,Toulouse,France
1912,Literature,The Nobel Prize in Literature 1912,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",1月1日,582,Individual,Gerhart Johann Robert Hauptmann,,,1862-11-15,Bad Salzbrunn,Prussia (Germany),Male,NA,NA,NA,1946/6/6,Agnetendorf (Jagniatków),Germany (Poland)
1912,Medicine,The Nobel Prize in Physiology or Medicine 1912,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",1月1日,306,Individual,Alexis Carrel,Alexis Carrel,"carrel, a",1873-06-28,Sainte-Foy-lès-Lyon,France,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,1944/11/5,Paris,France
1912,Peace,The Nobel Peace Prize 1912,NA,1月1日,480,Individual,Elihu Root,,,1845-02-15,"Clinton, NY",United States of America,Male,NA,NA,NA,1937/2/7,"New York, NY",United States of America
1912,Physics,The Nobel Prize in Physics 1912,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",1月1日,17,Individual,Nils Gustaf Dalén,,,1869-11-30,Stenstorp,Sweden,Male,Swedish Gas-Accumulator Co.,Liding?-Stockholm,Sweden,1937/12/9,Stockholm,Sweden
1913,Chemistry,The Nobel Prize in Chemistry 1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",1月1日,174,Individual,Alfred Werner,,,1866-12-12,Mulhouse,France,Male,University of Zurich,Zurich,Switzerland,1919/11/15,Zurich,Switzerland
1913,Literature,The Nobel Prize in Literature 1913,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",1月1日,583,Individual,Rabindranath Tagore,,,1861-05-07,Calcutta,India,Male,NA,NA,NA,1941/8/7,Calcutta,India
1913,Medicine,The Nobel Prize in Physiology or Medicine 1913,"""in recognition of his work on anaphylaxis""",1月1日,307,Individual,Charles Robert Richet,Charles Richet,charles robert richet,1850-08-26,Paris,France,Male,Sorbonne University,Paris,France,1935/12/4,Paris,France
1913,Peace,The Nobel Peace Prize 1913,NA,1月1日,481,Individual,Henri La Fontaine,,,1854-04-22,Brussels,Belgium,Male,NA,NA,NA,1943/5/14,Brussels,Belgium
1913,Physics,The Nobel Prize in Physics 1913,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",1月1日,18,Individual,Heike Kamerlingh Onnes,Heike Kamerlingh Onnes,"onnes, hk",1853-09-21,Groningen,Netherlands,Male,Leiden University,Leiden,Netherlands,1926/2/21,Leiden,Netherlands
1914,Chemistry,The Nobel Prize in Chemistry 1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",1月1日,175,Individual,Theodore William Richards,Theodore W. Richards,"richards, t",1868-01-31,"Germantown, PA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1928/4/2,"Cambridge, MA",United States of America
1914,Medicine,The Nobel Prize in Physiology or Medicine 1914,"""for his work on the physiology and pathology of the vestibular apparatus""",1月1日,308,Individual,Robert Bárány,,,1876-04-22,Vienna,Austria,Male,Vienna University,Vienna,Austria,1936/4/8,Uppsala,Sweden
1914,Physics,The Nobel Prize in Physics 1914,"""for his discovery of the diffraction of X-rays by crystals""",1月1日,19,Individual,Max von Laue,Max von Laue,"laue, m",1879-10-09,Pfaffendorf,Germany,Male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1960/4/23,Berlin,West Germany (Germany)
1915,Chemistry,The Nobel Prize in Chemistry 1915,"""for his researches on plant pigments, especially chlorophyll""",1月1日,176,Individual,Richard Martin Willst?tter,Richard Willst?tter,"willstatter, r",1872-08-13,Karlsruhe,Germany,Male,Munich University,Munich,Germany,1942/8/3,Locarno,Switzerland
1915,Literature,The Nobel Prize in Literature 1915,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",1月1日,584,Individual,Romain Rolland,,,1866-01-29,Clamecy,France,Male,NA,NA,NA,1944/12/30,Vézelay,France
1915,Physics,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",1月2日,20,Individual,Sir William Henry Bragg,William Bragg,"bragg, wh",1862-07-02,Wigton,United Kingdom,Male,University College,London,United Kingdom,1942/3/12,London,United Kingdom
1915,Physics,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",1月2日,21,Individual,William Lawrence Bragg,Lawrence Bragg,"bragg, wl",1890-03-31,Adelaide,Australia,Male,Victoria University,Manchester,United Kingdom,1971/7/1,Ipswich,United Kingdom
1916,Literature,The Nobel Prize in Literature 1916,"""in recognition of his significance as the leading representative of a new era in our literature""",1月1日,585,Individual,Carl Gustaf Verner von Heidenstam,,,1859-07-06,Olshammar,Sweden,Male,NA,NA,NA,1940/5/20,?vralid,Sweden
1917,Literature,The Nobel Prize in Literature 1917,"""for his varied and rich poetry, which is inspired by lofty ideals""",1月2日,586,Individual,Karl Adolph Gjellerup,,,1857-06-02,Roholte,Denmark,Male,NA,NA,NA,1919/10/11,Klotzsche,Germany
1917,Literature,The Nobel Prize in Literature 1917,"""for his authentic descriptions of present-day life in Denmark""",1月2日,587,Individual,Henrik Pontoppidan,,,1857-07-24,Fredericia,Denmark,Male,NA,NA,NA,1943/8/21,Ordrup,Denmark
1917,Peace,The Nobel Peace Prize 1917,NA,1月1日,482,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,Physics,The Nobel Prize in Physics 1917,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",1月1日,22,Individual,Charles Glover Barkla,Charles Glover Barkla,"barkla, cg",1877-06-07,Widnes,United Kingdom,Male,Edinburgh University,Edinburgh,United Kingdom,1944/10/23,Edinburgh,Scotland
1918,Chemistry,The Nobel Prize in Chemistry 1918,"""for the synthesis of ammonia from its elements""",1月1日,177,Individual,Fritz Haber,Fritz Haber,"haber, f",1868-12-09,Breslau (Wroclaw),Prussia (Poland),Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1934/1/29,Basel,Switzerland
1918,Physics,The Nobel Prize in Physics 1918,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",1月1日,23,Individual,Max Karl Ernst Ludwig Planck,Max Planck,"planck, m",1858-04-23,Kiel,Schleswig (Germany),Male,Berlin University,Berlin,Germany,1947/10/4,G?ttingen,West Germany (Germany)
1919,Literature,The Nobel Prize in Literature 1919,"""in special appreciation of his epic, <I>Olympian Spring</I>""",1月1日,588,Individual,Carl Friedrich Georg Spitteler,,,1845-04-24,Liestal,Switzerland,Male,NA,NA,NA,1924/12/29,Lucerne,Switzerland
1919,Medicine,The Nobel Prize in Physiology or Medicine 1919,"""for his discoveries relating to immunity""",1月1日,309,Individual,Jules Bordet,,,1870-06-13,Soignies,Belgium,Male,Brussels University,Brussels,Belgium,1961/4/6,Brussels,Belgium
1919,Peace,The Nobel Peace Prize 1919,NA,1月1日,483,Individual,Thomas Woodrow Wilson,,,1856-12-28,"Staunton, VA",United States of America,Male,NA,NA,NA,1924/2/3,"Washington, DC",United States of America
1919,Physics,The Nobel Prize in Physics 1919,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",1月1日,24,Individual,Johannes Stark,Johannes Stark,"stark, j",1874-04-15,Schickenhof,Germany,Male,Greifswald University,Greifswald,Germany,1957/6/21,Traunstein,West Germany (Germany)
1920,Chemistry,The Nobel Prize in Chemistry 1920,"""in recognition of his work in thermochemistry""",1月1日,178,Individual,Walther Hermann Nernst,Walther Nernst,"nernst, w",1864-06-25,Briesen,Prussia (Germany),Male,Berlin University,Berlin,Germany,1941/11/18,Muskau,Germany
